City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Harindanga,IN,76.98,clear sky,22.04,88.32,Hasanur Builders
1,Saint George,US,70.25,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
4,Rikitea,PF,75.47,overcast clouds,-23.12,-134.97,People ThankYou
11,Salalah,OM,76.69,scattered clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
14,Ballina,AU,82.58,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
15,Upata,VE,72.19,overcast clouds,8.01,-62.4,Posada Villa Nela
27,Kahului,US,80.62,clear sky,20.89,-156.47,Maui Seaside Hotel
33,Praya,CV,75.74,few clouds,14.92,-23.51,LT Aparthotel
40,Atuona,PF,78.35,clear sky,-9.8,-139.03,Villa Enata
41,Sijunjung,ID,76.37,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
47,Cartagena,CO,82.02,few clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
50,Meulaboh,ID,80.38,overcast clouds,4.14,96.13,Kost Pria
51,Quatre Cocos,MU,80.1,scattered clouds,-20.21,57.76,Sunrise Attitude Hotel
52,Veraval,IN,81.61,broken clouds,20.9,70.37,Lords Inn Somnath
53,Saint-Philippe,RE,78.39,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
54,Airai,TL,80.13,broken clouds,-8.93,125.41,Juvinal Martin
55,Divo,CI,71.31,scattered clouds,5.84,-5.36,Hôtel IROKO
56,Hilo,US,80.28,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
57,Port Blair,IN,84.96,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
63,Conceicao Do Araguaia,BR,72.07,moderate rain,-8.26,-49.26,Tarumã Tropical Hotel
65,Rundu,NA,75.11,broken clouds,-17.93,19.77,Millennia Estate
70,Geraldton,AU,70.21,clear sky,-28.77,114.6,Broadwater Mariner Resort
76,Butaritari,KI,82.31,scattered clouds,3.07,172.79,Isles Sunset Lodge
77,Hukuntsi,BW,75.31,broken clouds,-24.0,21.75,Entabeni Hotel
79,Sibolga,ID,76.28,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
80,Mahebourg,MU,80.26,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
82,Gabriel Leyva Solano,MX,76.01,overcast clouds,25.67,-108.64,The Big Boss House
83,Bambous Virieux,MU,80.22,scattered clouds,-20.34,57.76,Casa Tia Villa
89,Avarua,CK,75.25,few clouds,-21.21,-159.78,Paradise Inn
91,Sawtell,AU,82.72,light intensity shower rain,-30.38,153.1,The Bungalow Sawtell
92,Faanui,PF,80.58,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Georgetown,MY,89.89,few clouds,5.41,100.34,Cititel Penang
95,Sao Filipe,CV,78.37,broken clouds,14.9,-24.5,Hotel Xaguate
99,Mount Isa,AU,80.37,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
102,Kushima,JP,72.91,scattered clouds,31.46,131.23,Hanaoka
107,Touros,BR,81.5,clear sky,-5.2,-35.46,INN NEW HORIZON
111,Saint-Pierre,RE,78.48,clear sky,-21.34,55.48,Lindsey Hôtel
114,Carnarvon,AU,73.47,clear sky,-24.87,113.63,Hospitality Carnarvon
117,Kirakira,SB,83.39,clear sky,-10.45,161.92,SanBiz Lodge
119,Yenagoa,NG,76.15,overcast clouds,4.92,6.26,Amba Hotels Limited
127,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Kampot,KH,86.05,overcast clouds,10.62,104.18,Champa Lodge
130,Sur,OM,78.57,clear sky,22.57,59.53,Sur Plaza Hotel
131,Daru,PG,86.04,broken clouds,-9.08,143.21,Daru Lodge
137,Yulara,AU,73.24,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
139,Kankan,GN,74.07,clear sky,10.39,-9.31,Hotel Bate
144,Hirara,JP,82.26,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
145,Nabire,ID,86.38,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
148,Phan Thiet,VN,85.15,overcast clouds,10.93,108.1,Hotel Saigon-PT
149,Lorengau,PG,86.07,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
154,Victoria,HK,85.24,clear sky,22.29,114.16,Mini Hotel Central
159,Gorontalo,ID,87.94,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
164,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.08,Scoop Guest House
165,Kieta,PG,84.34,light rain,-6.22,155.63,Uruna Bay Retreat
168,Mormugao,IN,81.66,scattered clouds,15.4,73.8,Coconut Creek Resort
169,Vila Velha,BR,71.94,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
174,Batemans Bay,AU,82.2,light rain,-35.72,150.18,Batemans Bay Marina Resort
175,Bowen,AU,88.02,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
179,Cap Malheureux,MU,80.47,clear sky,-19.98,57.61,Pereybere Hotel & Spa
184,Souillac,MU,80.37,scattered clouds,-20.52,57.52,Bils' Villa
190,Gizo,SB,85.12,light rain,-8.1,156.84,Imagination Island
191,Yarada,IN,80.92,haze,17.65,83.27,MR-SAGAR_KUMAR_RTR™
192,Alice Springs,AU,71.15,light intensity shower rain,-23.7,133.88,Desert Palms Alice Springs
198,Oranjestad,AW,82.35,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
203,Kununurra,AU,89.58,broken clouds,-15.77,128.73,Hotel Kununurra
207,Kawalu,ID,80.83,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
217,Manali,IN,77.09,moderate rain,13.17,80.27,Sarathy Lodge
219,Karratha,AU,84.63,clear sky,-20.74,116.85,ibis Styles Karratha
221,Cabedelo,BR,81.27,few clouds,-6.98,-34.83,Hotel Pigalle
222,Boa Vista,BR,80.58,few clouds,2.82,-60.67,Aipana Plaza Hotel
224,Jodhpur,IN,80.15,broken clouds,26.29,73.03,Krishna Prakash Heritage Haveli
226,Cabo San Lucas,MX,79.52,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
228,Jacareacanga,BR,72.1,overcast clouds,-6.22,-57.75,Casa do Ian😎
229,Alofi,NU,82.29,broken clouds,-19.06,-169.92,Taloa Heights
230,Wanning,CN,82.38,overcast clouds,18.8,110.4,Paradise Hotel
232,Mariveles,PH,84.6,few clouds,14.48,120.48,The Oriental Bataan
233,Dingle,PH,85.3,overcast clouds,11.0,122.67,SEGAYA PROPERTY
235,Noumea,NC,78.78,broken clouds,-22.28,166.46,Hôtel Le Lagon
238,Victoria Point,AU,79.92,light rain,-27.58,153.3,Bay Retreat Motel
242,Kalabo,ZM,73.09,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
246,Espinosa,BR,71.29,overcast clouds,-14.93,-42.82,Hotel Vilma
248,Surman,LY,70.84,broken clouds,32.76,12.57,الإشارة الضوئية صرمان
250,Naze,JP,74.32,broken clouds,28.37,129.48,オーベルジュ・アガルイ
255,Harper,LR,77.07,scattered clouds,4.38,-7.72,Screensaver
256,Carora,VE,72.73,overcast clouds,10.18,-70.08,Hotel Irpinia
260,Itarema,BR,78.96,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
262,Muroto,JP,71.64,scattered clouds,33.28,134.15,Oota Ryokan
268,Hue,VN,86.11,few clouds,16.47,107.6,Saigon Morin Hotel
271,Nara,JP,70.92,broken clouds,34.69,135.8,Guesthouse Nara Komachi
274,Isagarh,IN,75.18,scattered clouds,24.83,77.88,ACC Cement
277,Rock Sound,BS,77.67,overcast clouds,24.9,-76.2,Rock Sound Club
278,Cayenne,GF,81.09,light rain,4.93,-52.33,Hôtel Le Dronmi
279,Guaiuba,BR,80.55,scattered clouds,-4.04,-38.64,C.T DO JUVENTUS
284,Buala,SB,85.6,clear sky,-8.14,159.59,Maringe Lagoon Lodge
287,Tello,CO,72.54,overcast clouds,3.07,-75.14,El portal
291,Bubaque,GW,83.77,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
299,Kilindoni,TZ,79.48,few clouds,-7.91,39.67,Bustani B&B
300,Fare,PF,80.06,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
301,Pochutla,MX,77.83,scattered clouds,15.74,-96.47,Hotel Posada San Jose
304,Honolulu,US,79.84,clear sky,21.31,-157.86,Aston at the Executive Centre Hotel
308,Palauig,PH,87.46,scattered clouds,15.44,119.9,Sunset Villas by Alperi
309,Taunggyi,MM,73.49,clear sky,20.78,97.03,True Treasure Hotel
310,Wajid,SO,73.74,clear sky,3.81,43.25,xamdihotelresturant114
311,Atar,MR,70.7,clear sky,20.52,-13.05,Oumou Elghoura
312,Abu Dhabi,AE,75.22,clear sky,24.47,54.37,Mourouj Hotel Apartments
313,Pasighat,IN,77.2,broken clouds,28.07,95.33,Siang Guest House
315,Bengkulu,ID,73.36,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
316,Alanya,TR,70.11,few clouds,36.54,32.0,Panorama Hotel
317,Bodden Town,KY,78.8,broken clouds,19.28,-81.25,Will T Place
319,Padang,ID,82.45,overcast clouds,-0.95,100.35,Mercure Padang
325,Sumbe,AO,74.8,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
326,Rumphi,MW,70.61,overcast clouds,-11.02,33.86,Country Annex Motel
331,Bathsheba,BB,81.21,scattered clouds,13.22,-59.52,Atlantis Hotel
334,Magdiwang,PH,82.22,overcast clouds,12.49,122.51,Sanctuary Garden Resort
338,Shenjiamen,CN,70.39,few clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
339,Turbat,PK,77.49,clear sky,26.0,63.04,Mubashar Quarters
344,Kapaa,US,82.38,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
347,Moroni,KM,75.2,few clouds,-11.7,43.26,Hotel les Arcades
349,Sabratah,LY,70.23,broken clouds,32.79,12.49,شقق مفروش شمس الاصيل
352,Ulladulla,AU,80.1,moderate rain,-35.35,150.47,Sandpiper Motel
356,Makakilo City,US,78.55,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
362,Byron Bay,AU,82.51,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
363,Loikaw,MM,78.58,broken clouds,19.67,97.21,Myat Nan Taw Hotel
364,Mogadishu,SO,79.47,few clouds,2.04,45.34,Hotel Juba
366,Banjar,ID,87.66,broken clouds,-8.19,114.97,The Hamsa Resort
368,San Cristobal,VE,71.78,overcast clouds,7.77,-72.22,Pirineos
372,Namatanai,PG,84.9,light rain,-3.67,152.43,Seagulls Inn Namatani
373,Cockburn Town,TC,83.35,overcast clouds,21.46,-71.14,Osprey Beach Hotel
375,Pitimbu,BR,81.19,few clouds,-7.47,-34.81,Reserva do Abiaí
378,Kailua,US,80.01,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
382,Caravelas,BR,71.31,broken clouds,-17.71,-39.25,Pousada dos Navegantes
383,Joao Neiva,BR,71.01,overcast clouds,-19.76,-40.39,Cabanha Santa Cypriana_Felicidade nas coisas simples!
384,Sukhothai,TH,84.09,few clouds,17.25,99.67,ที่ทำการกำนันบ้านใหม่ไชยมงคล
388,Parkes,AU,76.35,light rain,-33.13,148.18,Station Motel
390,Poum,NC,73.13,broken clouds,-20.23,164.02,Gîte kajeon
391,Bambanglipuro,ID,72.61,overcast clouds,-7.95,110.28,Puri Brata
393,Odweyne,SO,70.29,clear sky,9.41,45.06,Eng Hiirey House
397,Camopi,GF,71.71,overcast clouds,3.17,-52.32,La pousada
399,Zhuhai,CN,86.86,few clouds,22.28,113.57,Nanyang Seascape Hotel Zhuhai Hotel
404,Baturaja,ID,86.58,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
407,Luanda,AO,77.0,broken clouds,-8.84,13.23,Hotel Fórum
408,Benghazi,LY,72.39,overcast clouds,32.12,20.07,Tibesti Hotel
412,Rockhampton,AU,84.09,scattered clouds,-23.38,150.5,Mercure Rockhampton
415,Sinnamary,GF,77.81,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
416,Ternate,ID,86.83,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
417,Hervey Bay,AU,83.03,scattered clouds,-25.3,152.85,Shelly Bay Resort
418,Lazaro Cardenas,MX,77.85,overcast clouds,17.96,-102.2,quinta antigua
419,Sola,VU,84.87,broken clouds,-13.88,167.55,Ulkel Guest House
421,Black River,JM,77.0,overcast clouds,18.03,-77.85,Idlers' Rest Beach Hotel
422,Kavieng,PG,85.05,light rain,-2.57,150.8,Nusa Island Retreat
423,Pandan,PH,80.98,overcast clouds,14.05,124.17,Bonifacio Lodge
424,Nha Trang,VN,82.4,light rain,12.25,109.18,Sheraton Nha Trang Hotel & Spa
428,Port-Gentil,GA,78.4,moderate rain,-0.72,8.78,Fengshui Residence
431,Olinda,BR,80.33,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
432,Soure,BR,79.5,overcast clouds,-0.72,-48.52,Casarão da Amazônia
433,San Felipe,VE,73.29,broken clouds,10.34,-68.74,Posada Llovizna Rodríguez
434,Assare,BR,77.13,overcast clouds,-6.87,-39.88,José Xavier de Andrade
435,Gwadar,PK,77.79,clear sky,25.12,62.33,Sadaf Resort
438,Phangnga,TH,86.11,overcast clouds,8.45,98.53,Sunimit Mansion
442,Umm Lajj,SA,78.66,clear sky,25.02,37.27,Moon light Furnished Units
443,Esmeraldas,BR,74.26,overcast clouds,-19.76,-44.31,Bom Será - Marcinho e Fernanda
446,Zhangzhou,CN,82.33,light rain,24.51,117.66,Borrman Hotel Zhangzhou Bus Station Branch
447,Opuwo,NA,71.02,overcast clouds,-18.06,13.84,ABBA Guesthouse
448,Bani Walid,LY,70.18,overcast clouds,31.76,13.99,منزل الصابر أبوفانة
456,Isangel,VU,80.71,broken clouds,-19.55,169.27,Tanna Lodge
458,Lang Son,VN,82.6,few clouds,21.83,106.73,Khai Nga Hotel
461,Kismayo,SO,80.42,clear sky,-0.36,42.55,Agan-Hotel
468,Auki,SB,86.79,clear sky,-8.77,160.7,Auki Motel
471,Bandarbeyla,SO,76.91,few clouds,9.49,50.81,JABIR HOTEL
474,Todos Santos,MX,79.02,broken clouds,23.45,-110.22,Hotel California Todos Santos
477,Santa Marta,CO,84.25,scattered clouds,11.24,-74.2,Casa de Isabella
484,Celestun,MX,74.55,clear sky,20.87,-90.4,Posada Lilia
485,Ambulu,ID,88.14,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
488,Araguacu,BR,72.73,moderate rain,-12.93,-49.83,Brunas Park Hotel
491,Cosala,MX,71.11,broken clouds,24.41,-106.69,Hotel Real del Conde
494,Magaria,NE,76.55,few clouds,13.0,8.91,Chez Honorable Chapiou
495,Sao Gabriel Da Cachoeira,BR,77.58,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
496,La Orilla,MX,77.11,overcast clouds,17.98,-102.23,Hotel & Suites Marbella
499,Monrovia,LR,74.97,overcast clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
501,Puerto Madero,MX,78.91,scattered clouds,14.72,-92.42,Hotel La Central
504,Kudahuvadhoo,MV,82.45,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
507,Ribeirao,BR,79.11,moderate rain,-8.51,-35.38,Pousada Talismar
513,Tomatlan,MX,73.45,broken clouds,19.93,-105.25,El Salvial
514,Itanhaem,BR,75.25,broken clouds,-24.18,-46.79,Prainha Residência Artística
519,Gat,IL,71.4,clear sky,31.61,34.76,OlusHome
522,Xuddur,SO,72.0,clear sky,4.12,43.89,Banjanay Hotel
523,Shingu,JP,70.79,overcast clouds,33.73,135.98,Shingu UI Hotel
525,Bijapur,IN,77.29,few clouds,16.83,75.7,Rajdhani Lodge
526,Denpasar,ID,87.46,few clouds,-8.65,115.22,OYO 2225 Catur Adi Putra
528,Itupiranga,BR,75.52,overcast clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
529,Anori,BR,73.09,moderate rain,-3.77,-61.64,Novo Hotel 5 Irmãos
540,Manokwari,ID,84.29,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
551,Takoradi,GH,77.4,overcast clouds,4.88,-1.76,Raybow International Hotel
552,Sume,BR,73.94,overcast clouds,-7.67,-36.88,Pousada Sumé ll
553,Impfondo,CG,71.31,overcast clouds,1.64,18.07,Auberge La Place de Jules
556,Mbandaka,CD,70.45,light rain,0.05,18.26,Guest House Epervier
560,Kavaratti,IN,81.81,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
562,Cabinda,AO,77.38,overcast clouds,-5.55,12.2,Hotel Maiombe
567,Babai,IN,72.82,few clouds,22.7,77.93,G loading service babai
568,Bida,NG,77.11,overcast clouds,9.08,6.02,Royal Suite
572,Puerto Carreno,CO,76.96,broken clouds,6.19,-67.49,Casa Hotel Victoria
574,Santa Isabel Do Rio Negro,BR,75.76,overcast clouds,-0.41,-65.02,Hotel GSA
575,Ratnagiri,IN,82.15,broken clouds,16.98,73.3,Hotel Landmark
577,Vao,NC,70.02,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
580,Murupara,NZ,70.29,overcast clouds,-38.47,176.7,Murupara Motor Camp
585,Bangui,CF,70.75,light rain,4.36,18.55,SAM HOTEL
589,Uttaradit,TH,78.22,few clouds,17.67,100.5,บ้าน ณ ภาสิริ
592,Kinkala,CG,70.18,overcast clouds,-4.36,14.76,Hotel la Vernande
597,Tadpatri,IN,76.53,light rain,14.92,78.02,B Ravi kumar
599,Labuan,MY,88.16,few clouds,5.28,115.24,Tiara Labuan Hotel
600,Simao,CN,76.19,clear sky,22.79,100.97,Changyu Hotel
603,Bajil,YE,81.25,few clouds,15.06,43.29,شبكة ماكس نت MAX WIFI
604,Luganville,VU,80.71,heavy intensity rain,-15.53,167.17,The Espiritu Hotel
608,Neyveli,IN,80.53,light rain,11.54,79.48,ஸ்ரீ வள்ளி சைவ உணவகம் (Vegetarian Lunch Home)
611,Riachao Das Neves,BR,70.25,overcast clouds,-11.75,-44.91,Casa Costa
613,Sal Rei,CV,73.96,overcast clouds,16.18,-22.92,Marine Club Beach Resort
615,Along,IN,74.82,few clouds,28.17,94.77,Hotel West
616,Acarau,BR,78.98,broken clouds,-2.89,-40.12,castelo pizzaria
619,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
620,Lufilufi,WS,89.38,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
621,Tabou,CI,76.78,broken clouds,4.42,-7.35,hotêl doufoulougou
626,Vanimo,PG,86.49,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
627,Pagudpud,PH,89.56,clear sky,18.56,120.79,Saud Beach Resort and Hotel - 2
628,Grand Gaube,MU,80.38,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
630,Pangyan,PH,88.36,overcast clouds,5.7,125.28,SIOKI ONG Skimming & Surfing Hub
633,Mecca,SA,76.57,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
635,Amahai,ID,86.99,overcast clouds,-3.33,128.92,HOTEL ISABELA
637,Liwale,TZ,73.42,overcast clouds,-9.77,37.93,Samoma lodge
640,Bundaberg,AU,83.21,broken clouds,-24.85,152.35,Takalvan Motel
644,Aswan,EG,74.16,clear sky,24.09,32.91,Nuba Nile
646,San Policarpo,PH,82.4,light rain,12.18,125.51,Agapita M. Nicart
650,Mudigere,IN,72.73,broken clouds,13.13,75.63,Mourya Home Stay
652,Bangolo,CI,70.29,overcast clouds,7.01,-7.47,HÔTEL MATCHÊDÉ
653,Soyo,AO,77.45,overcast clouds,-6.13,12.37,Hotel Mpampa
654,Biu,NG,71.74,scattered clouds,10.61,12.19,EYN LCC MANDARAGIRAU
656,Port Moresby,PG,85.24,scattered clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
657,Magway,MM,83.66,few clouds,20.15,94.92,Htein Htein Thar 2
659,Sabang,ID,79.79,overcast clouds,5.89,95.32,Hotel Citra
661,Samarai,PG,85.66,clear sky,-10.62,150.67,Nuli Sapi
662,Emilio Carranza,MX,71.56,broken clouds,19.97,-96.61,casa carranza
664,Alto Araguaia,BR,70.0,overcast clouds,-17.31,-53.22,Araguaia Palace Hotel
665,Nuevo San Carlos,GT,74.84,overcast clouds,14.6,-91.7,Hotel Costa Real
667,Phonhong,LA,89.42,clear sky,18.5,102.42,Napakuang Resort
671,Maceio,BR,80.04,scattered clouds,-9.67,-35.74,Poutur Pousada
676,Kumluca,TR,71.06,few clouds,36.37,30.29,TurkuazKöy
